level	mpl	size	throughput	query	workload
4	100	4	40749.068170750106	1.8216197277460328e-05	92.139652967453
4	64	4	30123.838349341746	1.8223073522805846e-05	124.6389970779419
4	16	4	8403.300726284191	3.5711834723637586e-05	446.8012180328369
4	4	4	1766.5961924183325	0.0001420485026552911	2125.332895040512
4	100	16	10699.77792929864	2.4992167480921175e-05	87.72630667686462
4	64	16	7945.5824160574675	2.6163331989898917e-05	118.1350781917572
4	16	16	2116.7305363380856	3.6963407448748174e-05	443.4442570209503
4	4	16	441.0601359142409	0.00014219153578661178	2128.172381877899
4	100	64	2773.536843359388	3.8623366329024426e-05	84.60785388946533
4	64	64	1919.2571654071903	4.3140832097068756e-05	122.2676169872284
4	16	64	527.1751202187527	4.587242137907998e-05	445.1329188346863
4	4	64	109.85674511466095	0.00014375118199110357	2136.0818560123444
4	100	128	1343.501418289404	3.340265448913417e-05	87.3329930305481
4	64	128	986.8324582368555	3.6975438639140774e-05	118.89758896827698
4	16	128	256.8022023855552	5.019798327800793e-05	456.8963930606842
4	4	128	55.684091165088276	0.00014418334917400632	2107.1009249687195
3	100	4	40468.65366747315	1.8816878585114343e-05	92.77810502052307
3	64	4	30955.634657043684	1.5999280179957567e-05	121.28987312316895
3	16	4	8337.462953519474	3.789998338916503e-05	450.3294372558594
3	4	4	1772.6621871159673	0.00014046969335417678	2118.060072183609
3	100	16	10747.608935167285	2.6272554004477857e-05	87.3358907699585
3	64	16	7801.424793210442	2.3272459688532997e-05	120.31802201271057
3	16	16	2128.3759719886675	3.525651788712718e-05	441.01794624328613
3	4	16	436.48372311155066	0.0001459402422908512	2150.4856889247894
3	100	64	2748.023066019511	3.270713320356792e-05	85.39338803291321
3	64	64	1969.7817414104675	3.145038733089482e-05	119.13147282600403
3	16	64	527.8596361142057	4.474346434943245e-05	444.5556809902191
3	4	64	110.61301997073133	0.00014444482681175323	2121.477200984955
3	100	128	1386.2951356546084	2.7922667117652747e-05	84.63709998130798
3	64	128	997.6627302905897	4.7210139056065636e-05	117.60687899589539
3	16	128	251.73673229066029	4.895739636988534e-05	466.0901050567627
3	4	128	54.872381811983495	0.00014769612466536958	2138.2705857753754
2	100	4	41576.65971158541	1.7889545953837607e-05	90.30559515953064
2	64	4	30597.835112856374	1.6478319069705414e-05	122.70819115638733
2	16	4	8390.313332377562	3.724226850088996e-05	447.4928231239319
2	4	4	1757.450247039893	0.00014317114837198802	2136.39333820343
2	100	16	10695.915112086304	2.476764456546946e-05	87.75798892974854
2	64	16	7980.628058989236	2.1862880666507342e-05	117.61630702018738
2	16	16	2128.9801249456846	3.4076597858437084e-05	440.8927960395813
2	4	16	438.7260701304765	0.00014635998707861368	2139.494467973709
2	100	64	2718.579273166707	3.489698967885525e-05	86.31824803352356
2	64	64	1957.2908517525407	3.669438716356812e-05	119.89173698425293
2	16	64	522.8150626968825	4.513997278252593e-05	448.84513998031616
2	4	64	110.23795817994719	0.0001468102412958249	2128.6950871944427
2	100	128	1395.3455579655204	2.86637840510423e-05	84.08813095092773
2	64	128	905.3205570924974	5.632113878959836e-05	129.6027126312256
2	16	128	258.6754916538055	4.772450265455488e-05	453.58761763572693
2	4	128	55.09936388090706	0.00014916112772369707	2129.461970806122
1	100	4	41333.527061621884	1.6107023473717084e-05	90.8367919921875
1	64	4	30719.91754148067	1.7432597903949433e-05	122.22054290771484
1	16	4	8356.700598927217	3.861477073960166e-05	449.2927508354187
1	4	4	1738.3578741002254	0.0001418195775002968	2159.8573319911957
1	100	16	10714.681452453333	2.6839830284613938e-05	87.60428428649902
1	64	16	7848.1583538772475	2.1194539103960912e-05	119.60156226158142
1	16	16	2102.2240175661927	3.606364923487695e-05	446.50426983833313
1	4	16	442.8423721229175	0.00014122355113294183	2119.607470035553
1	100	64	2819.398565516254	3.1701910358878965e-05	83.23158097267151
1	64	64	1974.097341346176	3.369977366380148e-05	118.87103796005249
1	16	64	520.4787042445832	4.760458469458283e-05	450.85994505882263
1	4	64	110.0548845413926	0.00014731004093909185	2132.2361199855804
1	100	128	1381.5259188349116	2.743730771118348e-05	84.92927885055542
1	64	128	968.1781294342129	4.7358181438666266e-05	121.18844294548035
1	16	128	256.6752194572627	4.8898016523021814e-05	457.1224298477173
1	4	128	55.126705066404654	0.00014893284664465518	2128.405821800232
