level	mpl	size	throughput	query	workload
4	100	4	37345.3132399523	2.7609839437862282e-05	53.54634428024292
4	64	4	27530.060623884216	3.651063584797303e-05	72.63714480400085
4	16	4	8206.375643445173	4.9415372718083455e-05	243.67700028419495
4	4	4	1927.9573551628048	0.00012855667807690346	1037.2143318653107
4	100	16	8946.733392820472	6.204422900214708e-05	55.87815999984741
4	64	16	6997.015424374579	6.678694989748884e-05	71.44860625267029
4	16	16	2121.138036753605	4.8055408434012244e-05	235.68810296058655
4	4	16	478.5299876622429	0.0001349470070964007	1044.7140469551086
4	100	64	2355.1878947990604	3.808617022863179e-05	53.06667900085449
4	64	64	1942.256723282532	4.354912150658947e-05	64.34885692596436
4	16	64	522.530580572722	5.3518071944254934e-05	239.1860010623932
4	4	64	122.5834943223854	0.00013526880976400077	1019.5663020610809
4	100	128	1088.262625812366	0.00010207305935956922	57.422719955444336
4	64	128	926.8152875090669	4.753333858768917e-05	67.42551708221436
4	16	128	263.3929950538025	5.0519448703689935e-05	237.25384187698364
4	4	128	62.79128759777493	0.00013176513965700276	995.2176868915558
3	100	4	39107.619511848716	2.5666362371207075e-05	51.13338589668274
3	64	4	29837.35295301429	3.590228660492799e-05	67.02018785476685
3	16	4	8763.493365642249	4.7133396698086595e-05	228.18582916259766
3	4	4	2043.3589445602777	0.00012393137563454647	978.6361839771271
3	100	16	10033.89012937052	3.460852629753635e-05	49.82384634017944
3	64	16	7518.528541545512	3.785659396799895e-05	66.49266505241394
3	16	16	2201.424143955849	5.0572538431743896e-05	227.09253978729248
3	4	16	512.7793793291188	0.00012620356678739322	974.935849905014
3	100	64	2546.4401039692234	3.960498381911025e-05	49.08106803894043
3	64	64	1941.7567706058373	4.6667713973155803e-05	64.36542510986328
3	16	64	550.2781026583476	5.220369222392408e-05	227.1251561641693
3	4	64	126.81463649561505	0.00012918308432708026	985.5486989021301
3	100	128	1286.166869973672	3.769625758137649e-05	48.587007999420166
3	64	128	902.6970147932773	7.543601499022449e-05	69.22699308395386
3	16	128	276.2223337026583	5.0030994868378516e-05	226.23442196846008
3	4	128	63.43415460532921	0.00013114879002754557	985.1317541599274
2	100	4	38917.841179147246	2.4930615183995945e-05	51.382731914520264
2	64	4	30726.04741955598	2.914677425217239e-05	65.08175206184387
2	16	4	8776.638037224375	4.783731837933332e-05	227.84407782554626
2	4	4	2032.688606385611	0.00012485171995281602	983.7734091281891
2	100	16	10112.744001431032	4.9673305136577915e-05	49.4353461265564
2	64	16	7752.891291657524	4.041789269721796e-05	64.48265314102173
2	16	16	2199.847038443051	4.882359419626988e-05	227.2553460597992
2	4	16	511.55119841665424	0.0001282340677578168	977.2765688896179
2	100	64	2596.750089367039	4.351384501316707e-05	48.13016104698181
2	64	64	1924.569690791587	4.6738527445303855e-05	64.94023084640503
2	16	64	550.6378178981121	5.259397673629206e-05	226.97678208351135
2	4	64	127.43515505161439	0.0001306112290616788	980.7497777938843
2	100	128	1288.2080535450837	3.799279141976663e-05	48.5100212097168
2	64	128	931.7802111382798	4.760615395476213e-05	67.06624507904053
2	16	128	278.4231044951154	4.9742952593231434e-05	224.44617199897766
2	4	128	63.71207921150948	0.00013062431070259183	980.8344159126282
1	100	4	39713.138265230176	2.8276497630421548e-05	50.35373902320862
1	64	4	30221.482872898203	2.9988915854475342e-05	66.16832828521729
1	16	4	8785.6151655738	4.621686563609819e-05	227.61126708984375
1	4	4	2039.4564183574603	0.00012563164310632394	980.5088169574738
1	100	16	10214.753264577063	3.7073322438803524e-05	48.9416618347168
1	64	16	7504.074000119465	4.133138947236954e-05	66.62074494361877
1	16	16	2223.600572098887	4.78836589855163e-05	224.82769894599915
1	4	16	513.6080731902965	0.00012561582333270741	973.3628151416779
1	100	64	2619.622087239111	4.009749644374532e-05	47.70993518829346
1	64	64	1888.992022539483	4.0414210373530895e-05	66.16332864761353
1	16	64	560.3347104981649	5.04513365863109e-05	223.04882717132568
1	4	64	126.77090759659842	0.0001309575961722464	985.888658285141
1	100	128	1223.6915909844774	7.897152284367473e-05	51.06760597229004
1	64	128	920.422153839714	6.273560464596503e-05	67.89384603500366
1	16	128	279.52390306257354	4.9435629742009485e-05	223.56227612495422
1	4	128	63.73952036757024	0.00012872061324635436	980.4121468067169
